"Table CP-1. Average Published Prices (Enrollment-Weighted) for Full-Time Undergraduates, 2024-25 and 2025-26",,,,,,,,,,,,Trends in College Pricing 2025
,Sector,,,,,Carnegie Classification,,,,,,research.collegeboard.org/trends
,Public Two-Year In-District,Public Four-Year In-State,Public Four-Year Out-of-State,Private Nonprofit Four-Year,For-Profit,Public Four-Year,,,Private Nonprofit Four-Year,,,
,,,,,,Doctoral,Master’s,Bachelor’s,Doctoral,Master’s,Bachelor’s,
Tuition and Fees,,,,,,,,,,,,
2025-26,4150,11950,31880,45000,—,12720,9850,9240,54090,32600,46150,
2024-25,4040,11610,30820,43250,"$16,030*",12360,9540,9010,51930,31330,44490,
$ Change,110,340,1060,1750,—,360,310,230,2160,1270,1660,
% Change,2.7227722772277228E-2,2.9285099052540915E-2,3.4393251135626218E-2,4.046242774566474E-2,—,2.9126213592233011E-2,3.2494758909853247E-2,2.5527192008879023E-2,4.1594454072790298E-2,4.0536227258218961E-2,3.7311755450663071E-2,
Housing and Food (Room and Board),,,,,,,,,,,,
2025-26,10850,13900,13900,15920,—,14110,12230,12230,18330,14870,14740,
2024-25,10390,13310,13310,15250,—,13450,11760,11740,17540,14260,14120,
Tuition and Fees and Housing and Food,,,,,,,,,,,,
2025-26,15000,25850,45780,60920,—,26830,22080,21470,72420,47470,60890,
2024-25,14430,24920,44130,58500,—,25810,21300,20750,69470,45590,58610,
Percentage of Undergraduates Enrolled Full Time,,,,,,,,,,,,
Fall 2023,0.33,0.81,,0.81,0.69,0.83,0.72,0.54,0.87459862925511866,0.72,0.84,
* The latest tuition and fees available for the for-profit sector are for 2023-24 from IPEDS.,,,,,,,,,,,,
"NOTE: Prices in Table CP-1 are not adjusted for inflation. Tuition prices reported for 2024-25 have been revised and may differ from those reported in Trends in
College Pricing and Student Aid 2024. Carnegie groupings are based on 2021 Carnegie classification.",,,,,,,,,,,,
"SOURCE: College Board, Annual Survey of Colleges; NCES, IPEDS Fall 2023 Enrollment data and IPEDS 2023 Institutional Characteristics data.",,,,,,,,,,,,
"Enrollment-weighted tuition values represent the price charged by each institution weighted by the number of full-time undergraduate students enrolled in fall 2023.
Public four-year in-state prices are weighted by total fall 2023 full-time undergraduate enrollment in each institution, including both in-state students and out-of-state
students. Out-of-state tuition and fees are computed by adding the average in-state price to the out-of-state premium weighted by the number of full-time out-of-state
undergraduate students enrolled at each institution. Housing and food prices for 2024-25 and 2025-26 are calculated by applying the average one-year percent
change among institutions that reported data in both years to the previous year’s sector average. In Trends in College Pricing 2019 and earlier editions, housing and
food prices were weighted by the number of undergraduate students residing on campus for four-year institutions and by the number of commuter students for public
two-year institutions.",,,,,,,,,,,,
This table was prepared in October 2025.,,,,,,,,,,,,
