"TABLE CP-2. Average Tuition and Fees (Enrollment-Weighted) and Housing and Food in Current Dollars and in 2024 Dollars, 1971-72 to 2025-26",,,,,,,,,,,Trends in College Pricing 2025
,Tuition and Fees in 2025 Dollars,,,,,,Tuition and Fees and Housing and Food in 2025 Dollars,,,,research.collegeboard.org/trends
Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,
71-72,14550,—,3420,—,1510,—,23290,—,11210,—,
72-73,15020,3.2302405498281894E-2,3850,0.1257309941520468,1770,0.17218543046357615,23800,2.1897810218978186E-2,11940,6.5120428189116897E-2,
73-74,14870,-9.9866844207723293E-3,3700,-3.8961038961038974E-2,1960,0.10734463276836159,23350,-1.8907563025210128E-2,11600,-2.8475711892797295E-2,
74-75,13910,-6.4559515803631506E-2,3330,-9.9999999999999978E-2,1830,-6.6326530612244916E-2,22340,-4.3254817987152028E-2,10780,-7.0689655172413768E-2,
75-76,13710,-1.4378145219266725E-2,3230,-3.0030030030030019E-2,1500,-0.18032786885245899,22020,-1.43240823634736E-2,10650,-1.2059369202226389E-2,
76-77,14320,4.4493070751276509E-2,3510,8.6687306501547878E-2,1580,5.3333333333333233E-2,22520,2.2706630336058131E-2,10980,3.0985915492957705E-2,
77-78,14350,2.0949720670391248E-3,3510,0,1650,4.4303797468354444E-2,22530,4.4404973357026201E-4,10840,-1.2750455373406244E-2,
78-79,14620,1.8815331010452852E-2,3410,-2.8490028490028463E-2,1630,-1.2121212121212088E-2,22770,1.0652463382157196E-2,10620,-2.0295202952029467E-2,
79-80,14330,-1.9835841313269542E-2,3280,-3.8123167155425186E-2,1600,-1.8404907975460127E-2,22220,-2.4154589371980673E-2,10330,-2.7306967984934039E-2,
80-81,14150,-1.2561060711793415E-2,3130,-4.5731707317073211E-2,1520,-5.0000000000000044E-2,21840,-1.7101710171017137E-2,9960,-3.5818005808325282E-2,
81-82,14560,2.8975265017667784E-2,3220,2.8753993610223683E-2,1520,0,22420,2.6556776556776462E-2,10170,2.108433734939763E-2,
82-83,15480,6.3186813186813184E-2,3440,6.8322981366459645E-2,1570,3.289473684210531E-2,23790,6.1106155218554781E-2,10680,5.0147492625368661E-2,
83-84,16450,6.2661498708010299E-2,3720,8.1395348837209225E-2,1710,8.9171974522292974E-2,25090,5.464480874316946E-2,11090,3.838951310861427E-2,
84-85,17230,4.7416413373860156E-2,3810,2.4193548387096753E-2,1800,5.2631578947368363E-2,26190,4.384216819449982E-2,11400,2.7953110910730494E-2,
85-86,18310,6.268136970400473E-2,3950,3.6745406824147064E-2,1920,6.6666666666666652E-2,26630,1.6800305460099363E-2,11550,1.3157894736842035E-2,
86-87,19570,6.8814855270344033E-2,4140,4.8101265822784844E-2,1940,1.0416666666666741E-2,28940,8.6744273375891856E-2,11900,3.0303030303030276E-2,
87-88,19980,2.0950434338272927E-2,4220,1.9323671497584627E-2,2100,8.247422680412364E-2,29650,2.4533517622667533E-2,11900,0,
88-89,21770,8.9589589589589513E-2,4300,1.8957345971563955E-2,2180,3.8095238095238182E-2,31740,7.048903878583479E-2,12140,2.0168067226890685E-2,
89-90,22490,3.3073036288470359E-2,4410,2.5581395348837299E-2,2180,0,32610,2.7410207939508435E-2,12260,9.884678747940745E-3,
90-91,23010,2.3121387283236983E-2,4710,6.8027210884353817E-2,2240,2.7522935779816571E-2,33210,1.8399264029438811E-2,12490,1.8760195758564358E-2,
91-92,23190,7.8226857887875312E-3,4990,5.9447983014861983E-2,2770,0.23660714285714279,33550,1.0237880156579449E-2,12880,3.1224979983987211E-2,
92-93,23980,3.406640793445459E-2,5350,7.2144288577154381E-2,2570,-7.2202166064981976E-2,34490,2.8017883755588668E-2,13380,3.8819875776397561E-2,
93-94,24530,2.2935779816513735E-2,5660,5.7943925233644888E-2,2790,8.5603112840466844E-2,35210,2.0875616120614726E-2,13840,3.4379671150971625E-2,
94-95,25460,3.7912759885853964E-2,5890,4.0636042402826922E-2,2850,2.1505376344086002E-2,35850,1.8176654359556954E-2,14380,3.9017341040462394E-2,
95-96,25820,1.4139827179890041E-2,5940,8.4889643463497144E-3,2810,-1.4035087719298289E-2,36720,2.4267782426778295E-2,14240,-9.7357440890125657E-3,
96-97,26660,3.253292021688603E-2,6120,3.0303030303030276E-2,3020,7.4733096085409345E-2,37680,2.614379084967311E-2,14650,2.8792134831460592E-2,
97-98,27660,3.7509377344336015E-2,6240,1.9607843137254832E-2,3150,4.3046357615894149E-2,38840,3.0785562632696495E-2,14990,2.3208191126279809E-2,
98-99,29060,5.0614605929139467E-2,6420,2.8846153846153744E-2,3060,-2.8571428571428581E-2,40420,4.067971163748707E-2,15350,2.4016010673782562E-2,
99-00,30000,3.2346868547832086E-2,6490,1.0903426791277315E-2,3190,4.2483660130719025E-2,41510,2.6966848095002494E-2,15620,1.7589576547231367E-2,
00-01,30050,1.6666666666667052E-3,6560,1.0785824345146411E-2,3070,-3.7617554858934144E-2,41590,1.9272464466393302E-3,15780,1.0243277848911658E-2,
01-02,31600,5.1580698835274497E-2,6850,4.4207317073170715E-2,2930,-4.5602605863192203E-2,43380,4.3039192113488722E-2,16420,4.0557667934093766E-2,
02-03,32320,2.2784810126582178E-2,7340,7.1532846715328446E-2,2990,2.0477815699658786E-2,44510,2.6048870447210604E-2,17310,5.4202192448233877E-2,
03-04,33160,2.5990099009900902E-2,8140,0.10899182561307907,3340,0.11705685618729089,45600,2.4488878903617062E-2,18430,6.4702484113229319E-2,
04-05,34180,3.0759951749095293E-2,8740,7.3710073710073765E-2,3550,6.2874251497005984E-2,46820,2.6754385964912197E-2,19400,5.2631578947368363E-2,
05-06,34590,1.1995318899941543E-2,9050,3.5469107551487467E-2,3590,1.1267605633802802E-2,47380,1.1960700555318171E-2,19980,2.9896907216494739E-2,
06-07,35630,3.0066493206128975E-2,9260,2.3204419889502725E-2,3630,1.1142061281337101E-2,48710,2.8070915998311463E-2,20510,2.6526526526526428E-2,
07-08,36370,2.0769014875105185E-2,9610,3.7796976241900593E-2,3560,-1.9283746556473802E-2,49680,1.9913775405460798E-2,21060,2.6816187225743526E-2,
08-09,37120,2.0621391256530064E-2,9870,2.7055150884495394E-2,3560,0,50550,1.7512077294685957E-2,21490,2.0417853751186987E-2,
09-10,38630,4.0678879310344751E-2,10610,7.4974670719351488E-2,3860,8.4269662921348409E-2,52630,4.1147378832838699E-2,22870,6.4215914378780825E-2,
10-11,39530,2.3297954957287148E-2,11270,6.220546654099901E-2,4050,4.9222797927461093E-2,53850,2.3180695420862651E-2,23890,4.4599912549191156E-2,
11-12,39910,9.6129521882115654E-3,11850,5.1464063886424105E-2,4250,4.9382716049382713E-2,54350,9.2850510677808806E-3,24560,2.8045207199665079E-2,
12-13,40660,1.8792282635930802E-2,12130,2.3628691983122341E-2,4420,4.0000000000000036E-2,55330,1.8031278748850132E-2,24990,1.7508143322475522E-2,
13-14,41640,2.410231185440237E-2,12290,1.3190436933223415E-2,4480,1.3574660633484115E-2,56610,2.3133923730345174E-2,25400,1.6406562625050025E-2,
