"TABLE CP-2. Average Tuition and Fees (Enrollment-Weighted) and Housing and Food in 2025 Dollars, 1995-96 to 2025-26, Selected Years",,,,,,,,,,,Trends in College Pricing 2025
,Tuition and Fees in 2025 Dollars,,,,,,Tuition and Fees and Housing and Food in 2024 Dollars,,,,research.collegeboard.org/trends
Academic Year,Private Nonprofit Four-Year,Ten-Year $ Change,Public Four-Year,Ten-Year $ Change,Public Two-Year,Ten-Year $ Change,Private Nonprofit Four-Year,Ten-Year $ Change,Public Four-Year,Ten-Year $ Change,
1995-96,25820,,5940,,2810,,36720,,14240,,
2005-26,34590,8770,9050,3110,3590,780,47380,10660,19980,5740,
2015-16,43930,9340,12810,3760,4620,1030,59610,12230,26590,6610,
2025-26,45000,1070,11950,-860,4150,-470,60920,1310,25850,-740,
Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,
2015-16,43930,,12810,,4620,,59610,,26590,,
2016-17,44940,2.2991122239927053E-2,12970,1.2490241998438734E-2,4640,4.3290043290042934E-3,60840,2.0634121791645699E-2,27030,1.6547574276043697E-2,
2017-18,45590,1.446372941700047E-2,13110,1.0794140323824308E-2,4650,2.1551724137931494E-3,61740,1.4792899408283988E-2,27310,1.0358860525342184E-2,
2018-19,45750,3.5095415661330343E-3,13090,-1.5255530129671957E-3,4650,0,61920,2.9154518950438302E-3,27440,4.7601611131453669E-3,
2019-20,46450,1.5300546448087537E-2,13150,4.583651642475095E-3,4660,2.1505376344086446E-3,62810,1.4373385012919959E-2,27640,7.2886297376093534E-3,
2020-21,46370,-1.7222820236814096E-3,13150,0,4670,2.1459227467810482E-3,62930,1.9105238019423432E-3,27730,3.2561505065122898E-3,
2021-22,45240,-2.4369204226870833E-2,12770,-2.8897338403041872E-2,4520,-3.2119914346895095E-2,61420,-2.3994914984903915E-2,26970,-2.7407140281283771E-2,
2022-23,43940,-2.8735632183908066E-2,12090,-5.324980422866088E-2,4280,-5.3097345132743334E-2,59380,-3.3213936828394686E-2,25640,-4.9314052651093787E-2,
2023-24,44110,3.8689121529358328E-3,11950,-1.1579818031430933E-2,4170,-2.5700934579439227E-2,59590,3.5365442910071376E-3,25450,-7.4102964118564207E-3,
2024-25,44390,6.3477669462705943E-3,11920,-2.510460251046065E-3,4150,-4.7961630695443347E-3,60050,7.7194160093976283E-3,25580,5.1080550098232536E-3,
2025-26,45000,1.3741833746339305E-2,11950,2.5167785234898599E-3,4150,0,60920,1.4487926727726919E-2,25850,1.0555121188428496E-2,
NOTE: Average tuition and fee reflect in-district prices for public two-year institutions and in-state charges for public four-year institutions.,,,,,,,,,,,
"SOURCE: College Board, Annual Survey of Colleges; NCES, IPEDS Fall Enrollment data.",,,,,,,,,,,
This table was prepared in October 2025.,,,,,,,,,,,
