"TABLE CP-3. Average Tuition and Fees (Unweighted) in Current Dollars and in 2025 Dollars, 1986-87 to 2025-26",,,,,,,,Trends in College Pricing 2025
,In Current Dollars,,,,In 2025 Dollars,,,research.collegeboard.org/trends
Academic Year,Public Two-Year,Public Four-Year,Private Nonprofit Four-Year,,Public Two-Year,Public Four-Year,Private Nonprofit Four-Year,
86-87,640,1260,5520,,1880,3700,16220,
87-88,720,1420,5930,,2040,4020,16810,
88-89,800,1520,6760,,2180,4140,18400,
89-90,850,1640,7090,,2210,4260,18410,
90-91,950,1800,7790,,2340,4430,19190,
91-92,1130,2070,8280,,2670,4890,19570,
92-93,1100,2260,8940,,2520,5190,20520,
93-94,1200,2430,9400,,2670,5410,20950,
94-95,1270,2590,9990,,2760,5630,21700,
95-96,1400,2740,10530,,2960,5790,22250,
96-97,1480,2880,11170,,3040,5910,22920,
97-98,1530,3040,11810,,3070,6100,23690,
98-99,1550,3160,12310,,3060,6240,24320,
99-00,1600,3280,12950,,3090,6340,25030,
00-01,1700,3380,13770,,3180,6320,25750,
01-02,1750,3610,14900,,3180,6560,27090,
02-03,1880,3950,15660,,3360,7070,28030,
03-04,2070,4430,16290,,3620,7750,28510,
04-05,2240,4850,17290,,3820,8270,29470,
05-06,2370,5170,18230,,3910,8520,30060,
06-07,2460,5450,19360,,3930,8700,30920,
07-08,2460,5880,19850,,3820,9130,30830,
08-09,2550,6270,21160,,3810,9380,31640,
09-10,2720,6700,22170,,4080,10060,33270,
10-11,2890,7170,23170,,4270,10590,34210,
11-12,3110,7690,24010,,4450,11010,34370,
12-13,3290,8030,24770,,4610,11260,34740,
13-14,3400,8220,25600,,4700,11360,35380,
14-15,3520,8480,26470,,4790,11530,36000,
15-16,3610,8710,27380,,4900,11830,37200,
16-17,3700,8980,28700,,4960,12050,38500,
17-18,3790,9250,30040,,4980,12150,39460,
18-19,3900,9470,30790,,5000,12140,39480,
19-20,4000,9750,31820,,5040,12280,40080,
20-21,4070,9860,32410,,5060,12270,40320,
21-22,4130,10020,33010,,4910,11910,39230,
22-23,4210,10200,34120,,4630,11220,37540,
23-24,4320,10440,36260,,4570,11030,38320,
24-25,4410,10670,37570,,4530,10950,38560,
25-26,4550,10970,38880,,4550,10970,38880,
NOTE: Average tuition and fee prices reflect in-district charges for public two-year institutions and in-state charges for public four-year institutions. ,,,,,,,,
"SOURCE: College Board, Annual Survey of Colleges.",,,,,,,,
This table was prepared in October 2025.,,,,,,,,
