"TABLE CP-4. Average Tuition and Fees (Enrollment-Weighted) at Public Institutions by Sector and College Board Region in Current Dollars and in 2025 Dollars, 1990-91 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trends in College Pricing 2025
Public Two-Year (in Current Dollars),,,,,,,,Public Two-Year (in 2025 Dollars),,,,,,,,Public Four-Year In-State (in Current Dollars),,,,,,,,Public Four-Year In-State (in 2024 Dollars),,,,,,,,research.collegeboard.org/trends
Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,Academic Year,National,Middle States,Midwest,New England,South,Southwest,West,
90-91,910,1400,1200,1360,710,600,410,90-91,2240,3450,2960,3350,1750,1480,1010,90-91,1910,2080,2130,2550,1800,1180,1400,90-91,4710,5120,5250,6280,4430,2910,3450,
91-92,1170,1680,1290,1750,810,660,510,91-92,2770,3970,3050,4140,1910,1560,1210,91-92,2110,2770,2300,3390,1880,1270,1690,91-92,4990,6550,5440,8010,4440,3000,4000,
92-93,1120,1820,1430,1870,920,690,620,92-93,2570,4180,3280,4290,2110,1580,1420,92-93,2330,3090,2620,3630,2010,1410,1970,92-93,5350,7090,6010,8330,4610,3240,4520,
93-94,1250,1890,1500,2110,980,710,770,93-94,2790,4210,3340,4700,2180,1580,1720,93-94,2540,3360,2770,3950,2180,1550,2240,93-94,5660,7490,6170,8800,4860,3450,4990,
94-95,1310,2000,1550,2200,990,750,780,94-95,2850,4350,3370,4780,2150,1630,1690,94-95,2710,3520,2920,4090,2260,1730,2490,94-95,5890,7650,6340,8890,4910,3760,5410,
95-96,1330,2360,1600,2210,1040,830,810,95-96,2810,4990,3380,4670,2200,1750,1710,95-96,2810,3730,3100,4240,2320,1870,2560,95-96,5940,7880,6550,8960,4900,3950,5410,
96-97,1470,2530,1700,2300,1080,870,900,96-97,3020,5190,3490,4720,2220,1790,1850,96-97,2980,3910,3260,4320,2430,2160,2590,96-97,6120,8020,6690,8870,4990,4430,5320,
97-98,1570,2560,1750,2360,1190,940,930,97-98,3150,5140,3510,4730,2390,1890,1870,97-98,3110,4060,3470,4530,2540,2320,2680,97-98,6240,8140,6960,9090,5100,4650,5380,
98-99,1550,2620,1830,2300,1240,1000,1050,98-99,3060,5180,3610,4540,2450,1980,2070,98-99,3250,4200,3650,4640,2680,2530,2660,98-99,6420,8300,7210,9170,5290,5000,5250,
99-00,1650,2620,1830,2170,1270,1040,1010,99-00,3190,5060,3540,4190,2450,2010,1950,99-00,3360,4510,3810,4680,2730,2720,2680,99-00,6490,8720,7360,9050,5280,5260,5180,
00-01,1640,2650,1880,2150,1330,1130,960,00-01,3070,4960,3520,4020,2490,2110,1800,00-01,3510,4690,3990,4750,2910,2930,2750,00-01,6560,8770,7460,8880,5440,5480,5140,
01-02,1610,2740,2020,2280,1470,1120,910,01-02,2930,4980,3670,4150,2670,2040,1650,01-02,3770,4780,4220,4890,3190,3210,2930,01-02,6850,8690,7670,8890,5800,5840,5330,
02-03,1670,2950,2150,2620,1630,1220,970,02-03,2990,5280,3850,4690,2920,2180,1740,02-03,4100,5590,4890,5350,3380,3400,3030,02-03,7340,10010,8750,9580,6050,6090,5420,
03-04,1910,3080,2330,2960,1810,1360,1090,03-04,3340,5390,4080,5180,3170,2380,1910,03-04,4650,5930,5450,6240,3810,3930,3700,03-04,8140,10380,9540,10920,6670,6880,6470,
