"TABLE CP-5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2025 Dollars, 2004-05 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trends in College Pricing 2025
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,research.collegeboard.org/trends
In 2025 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year % Change,5-Year % Change,,In 2025 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year % Change,5-Year % Change,
Alabama,4649.982423761393,4500.8994095602957,4449.6872528169024,4362.1777585427535,4239.7659749913091,4260.9073651200079,5045.6351200872905,5740.0875410233311,5733.096553462171,5737.6236879917269,5789.3344765747297,5860.878222961207,5895.8838539622093,5884.8875589952859,6104.1972064281845,6103.3863668084987,6132.4880404562036,5857.3102640089692,5478.6198356951172,5359.8767086967509,5288.2686881027821,5618.050371444102,6.23609923760573E-2,-8.3887268204738685E-2,AL,Alabama,7687.4709425087549,7883.9930316913315,7835.6660668771437,8143.5600447839797,8925.1934175478418,9736.0007317835461,10887.172297454958,11452.977659782462,12248.74395742138,12661.523565992995,12893.87162459418,13239.510052218773,13526.614378086846,13989.743862343705,13818.687515524387,13756.320026321504,13680.333883317724,13472.379550252042,12854.471310317947,12562.825700296449,12517.722481206085,12536.760294518681,1.5208687795387199E-3,-8.3592520369225487E-2,Alabama
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AK,Alaska,5855.0915049928099,6253.4474214147258,6698.4882764946469,6871.7111361878551,6995.9877358057656,7387.1736707011896,7768.535664846132,7808.5230763796189,8113.0047851709051,8134.1264562439464,8348.908902201907,9106.5974421532483,9562.139536669325,9773.1168390457424,10028.067685347927,10369.268499574266,10712.186010544807,10475.231539206152,9928.0783566865957,9595.6567918582405,9671.9834749648344,9681.7886760080073,1.0137735520903135E-3,-9.6189268326978494E-2,Alaska
Arizona,2374.4228432183359,2509.2926378574252,2651.2852978018873,2618.2384125678473,2723.3205786452113,2878.6263917929464,2922.245215877304,3079.0344889628891,3090.9356173753977,3225.5860913700662,3305.5539592823661,3361.7075290544612,3432.4296539491725,3415.3365297740502,3311.2496751688609,3278.5701899704213,2810.3813152364096,3078.4955539712646,2869.757275328931,3032.5385678337889,2975.4609357078143,2916.0515692147414,-1.9966441427650694E-2,3.7599970297782503E-2,AZ,Arizona,6951.1100894790916,7310.2520080550739,7465.1249891120606,7700.9752597413726,8350.9182378664791,9836.5575452611938,11923.76458727096,13505.667319091055,13642.750311174168,13929.540171038838,14140.014413436071,14445.925883638272,14664.23650957644,14725.354807218117,14803.5387936023,14960.834965884169,14693.512885580751,14045.789926797981,13404.796343704422,13299.373823768619,13205.486180570842,13153.188466799958,-3.9603020332434902E-3,-0.10483023568124172,Arizona
Arkansas,3194.3061078184937,3264.3885827580166,3346.0498186114178,3320.1623523547196,3433.6870118448132,3569.0164544753002,3728.4836635119718,3811.9334468192346,3918.363936001298,4154.9217060409246,4320.5706908695893,4622.4852063690532,4739.1469317528072,4742.0634124939697,4706.2116006876704,4725.9132446919657,4835.2568957267831,4618.8585103632076,4530.8755862497374,4602.6539459088663,4671.0730711264523,4838.9291983616149,3.5935239008085818E-2,7.5948449359075632E-4,AR,Arkansas,7808.4932123353892,8210.4318899671325,8487.3072726019454,8694.8498647493325,8844.4359704051512,8975.0708148706035,9308.6578276354339,9524.8235655783665,9809.9340487935151,10022.817398001358,10328.054497621328,10708.253956166376,11073.250027894095,11231.202819064665,11157.332874023785,11380.152899690469,11293.758878713614,10991.65546324734,10427.952919362981,10292.193092040763,10371.870205468591,10504.724001001681,1.2809049178328813E-2,-6.9864682448560034E-2,Arkansas
California,1377.2675214073336,1335.4316929464615,1156.3437081979314,983.00410151568633,948.15224978641629,1226.1927852423551,1209.357671452002,1601.7850270336926,1990.0352273392418,1969.4764109149221,1942.3400286028545,1932.3750558610814,1913.0338509250778,1865.2991816458273,1831.1443755793393,1798.3653954849578,1776.7621835750072,1697.0350868850098,1576.7900715600679,1516.8862097901872,1473.3959282369228,1435.6327737648153,-2.5630011423538601E-2,-0.1919949743211038,CA,California,7150.5411538412918,7461.9306694761535,7265.4800118679423,7688.5518271787732,8129.5830123642882,9830.554153411782,11052.554543123608,12787.08279400534,12602.154018936171,12546.886356495937,12473.955814253764,12589.711030316064,12479.895643412841,12873.191535302189,12662.330946943272,12410.730217946306,12345.861951079209,11815.359047121208,11390.358645870368,11346.236465028522,11636.734690299367,11948.69207674089,2.680798305916321E-2,-3.2170283120944831E-2,California
Colorado,3780.6675278235962,3937.0504725384567,3794.851727456195,3818.6525839290248,3813.5461150715478,4154.3471597929483,4610.0300980136144,4858.3184823524152,5016.4594842793995,5176.0647400916559,5304.5186513748613,5538.3991793862051,5722.1931831779193,5674.7130033168833,5782.6085274298639,5919.4188725783897,5950.4532923335664,5701.3726609089881,5358.66239527582,5406.6560616250235,5479.8966703289007,5531.8138454519067,9.4741157080777683E-3,-7.0354211068428318E-2,CO,Colorado,6363.0441304623464,7298.7112403382525,7621.6466512714487,8440.169497216044,8661.9839601938838,9410.3167239529575,10451.567275381281,11268.321477041312,11837.834639866483,12572.266838715108,12625.724140860279,13242.906440893106,13800.257446245014,14199.918418022107,14306.876386392431,14368.124571733582,14285.622954802198,13984.528991704956,13406.036411996392,13491.208820650181,13550.500777728452,13710.861932051934,1.1834334166236138E-2,-4.0233528812060326E-2,Colorado
Connecticut,4101.1208620124307,4181.0552756941061,4267.611033570266,4391.6834108789271,4462.5967087739209,4802.7134795294205,5032.3454753460592,4995.7370369504806,5045.910322738966,5232.9158147950075,5258.1930988951926,5499.4643203375945,5617.736742512534,5661.5770935869832,5647.8587866047701,5679.1228392275762,5616.5781138276598,5364.5503126466037,5215.0838614708309,5254.0565995563857,5356.0379660689623,5217.9995019506932,-2.5772495451443111E-2,-7.0964669910971501E-2,CT,Connecticut,10799.959177768398,11135.192165630124,11395.735301094255,11761.884778641088,12020.895558017688,12691.170369656493,13255.682315780979,13193.612684691283,13512.325169424663,14141.82184686302,14479.672490291845,15179.772449547407,15804.495818714497,15999.538051018435,16340.783750712504,17184.067695235277,17692.739662587475,17721.451607454266,17361.503511796982,17460.017620958035,17650.1692453582,17355.365566037734,-1.6702597874408309E-2,-1.9068505103431943E-2,Connecticut
Delaware,4276.1933099642756,4417.5100477654287,4563.9700848407547,4652.7336581655318,4867.3447025766154,5129.7951023656451,5277.1669963431996,5464.5260248519189,5400.5740247982794,5597.8885434018393,5839.9849618158923,5996.0699667220943,6080.6905099459746,6200.1493925128907,6225.4294810505753,6227.9856848387399,6152.6314929733517,5876.0283966477236,5440.6307373361306,5225.5245729765647,5075.8177463780166,4945.0012565971347,-2.5772495451443223E-2,-0.19627865536159583,DE,Delaware,11299.389108179719,11623.201771941423,11823.774132305645,12125.270181097123,12399.259152964001,13525.64183672473,14209.583482762655,14941.40492598542,15297.60694842597,15561.553901926258,15634.712542595917,15861.440630365632,16004.054995786424,15999.538051018435,16318.784709292353,16718.879577298794,16910.970257955934,16517.93343925161,15612.44787165563,15876.812482595216,16090.588399299393,16469.189847166494,2.3529372479851984E-2,-2.6123894965849215E-2,Delaware
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DC,District of Columbia,4295.4383093397037,4154.6763780556576,5126.8830156289505,5854.5425951250199,5638.0662171842105,8059.5535578353083,10336.390354290616,10020.102939442224,10159.136847671225,10027.682048689327,9980.501585587348,10081.423014468184,10523.316609281068,10587.543242299555,10581.306710119332,10634.801394415839,10744.066346031281,10261.957246494821,9501.5730795792933,9125.9076663085543,8864.4559348257317,8635.9967845659176,-2.5772495451443111E-2,-0.19620779447662817,District of Columbia
