"TABLE CP-6. Published Tuition and Fees in Current Dollars and in 2025 Dollars, 2007-08 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In 2025 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,In 2025 Dollars
,,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,
University of Alaska Fairbanks,AK,6981.969100180926,7220.3139778687973,7703.8525907576604,7849.7501604869867,7973.1390532418836,8271.4783445009507,8276.4659004206314,8408.2109442938799,9243.2289705486492,9637.8756463197678,9875.5769349389648,10369.731866788055,10753.191134909423,11172.040698841376,10777.672410395149,10872.4596453702,11317.566870895655,11208.880830212418,11190,-1.684452756561261E-3,1.607521995555139E-3,20911.74286099563,21308.001979427223,22566.749961938862,23487.232139335218,24635.138798257238,25731.618288386475,26189.458229988333,26524.89968224187,28235.048636667125,29318.782624536776,30091.742009255362,31104.066513253107,33007.687194156264,33142.891338210946,31762.644270106099,30644.888989518851,30085.072718431304,28638.07464861964,29190,1.9272432178221166E-2,-0.11926815008000213,University of Alaska Fairbanks
University of Alabama,AL,8851.6957008521531,9571.2529946893756,10505.935736470607,11665.354828413694,12310.412182743305,12902.272087047939,13061.55690697645,13364.458223654427,13815.937482433827,14046.291483430952,14160.510688832408,13822.889764310034,13576.87988221171,14456.471371997417,13807.778766129175,13092.721086814956,12575.074300995171,12502.213233698465,12484,-1.4568007566351238E-3,-0.13644210410973101,25651.282383627342,26919.149047563867,28816.280877176523,30270.8574661368,31348.60776768353,32185.559173668502,33103.099251014384,33934.788589474651,35253.05581800962,36155.449424877188,36911.906341019538,37480.804064079988,38098.387424573673,38679.147586523206,36943.531999910163,35537.385807069164,35083.400570843674,35075.995945972412,35342,7.5836493548839812E-3,-8.627769210937708E-2,University of Alabama
University of Arkansas,AR,9376.5857266219809,9571.2529946893756,9693.976988837665,9993.812845405555,10269.174069651217,10592.484899290552,10805.846761771627,11166.517607999474,11577.130700619575,11832.692539050717,11903.761397235554,11707.141330997272,11813.648728677721,11669.681709925626,11371.810911519467,10623.807967586992,10300.993637487472,10371.29413081193,10496,1.2024137741652119E-2,-0.10057529751881344,22505.048087149014,22848.375508260044,23180.596778541218,23626.035095521405,25201.990335974257,25852.226483982795,26364.994497415424,27612.98909593244,29650.604866430745,31081.612329334126,31930.769371441387,32272.216102797302,32584.511717308105,32184.932391873765,31358.630089341561,30157.2676461847,30404.20485615404,30758.729208621364,31550,2.5725080708368431E-2,-1.9727628572992595E-2,University of Arkansas
University of Arizona,AZ,7822.1037272267176,8271.6562990042094,10288.31278192943,12162.978192613115,13310.991033410462,14073.293521035443,14362.183896337807,14902.74463225947,15490.967071012086,15788.99756146121,15601.519986202458,16011.727688955416,15869.080381805896,15800.102101924887,15110.130360593683,14583.927007170041,14371.513486851623,14267.71460988577,13906,-2.5351965593364612E-2,-0.11987910519224643,25267.708903257084,27913.66205404331,33877.140206230652,36320.599077783751,36514.68655460453,36786.90207775592,37419.632819319937,40015.848300237827,44287.075902393583,48319.511018026038,46378.956483358612,46656.740905768544,46095.900156674266,45534.152514208727,44249.059009734789,43522.141295019363,43325.886247126218,43419.016402745903,43068,-8.0843932411998054E-3,-5.4160501031378039E-2,University of Arizona
University of California: Berkeley,CA,11125.183859807863,11449.611394897165,14631.766784978849,16154.301496562761,18372.574461105851,18054.766396592953,17780.303497496829,17643.369842992593,18246.003571933994,18091.140463616655,18295.695071804988,18187.742895823147,17950.952593799953,17803.107171538988,17150.401973454595,16745.480247170053,16487.084810430813,17431.246726984184,17480,2.7968896189360937E-3,-1.8148920209587027E-2,41593.652219583164,42269.04603779695,48654.489243557735,49938.055055964898,51121.133753757167,50139.351266971513,49401.710790386482,48760.006851008671,51811.803308018061,53887.047756921784,55094.63258914739,55363.366276794994,55424.652409693015,54827.598396207068,52506.395898360577,50881.174737886089,50908.973069306165,52535.983393034061,55082,4.8462338430378171E-2,4.6400282199945408E-3,University of California: Berkeley
University of Colorado at Boulder,CO,10303.68438160597,10884.309264898324,11904.726037383551,12567.574043623918,13100.568871682177,13297.754774933539,14552.924092439685,14674.24585538445,15067.115301639486,15469.702683423335,15876.060499557372,16069.429918954855,15743.135299410609,15551.281596382763,14853.462528107977,14419.596854100571,14394.761523374473,14372.412947310831,14606,1.6252459037010558E-2,-6.0784803524015385E-2,38507.982156847509,40013.819550923268,42313.406602616546,43550.165817013301,43415.674593326097,44005.162342107637,44640.116764509883,45089.065191570109,46358.787275128256,47061.113557523815,47578.265041698498,47810.785505757318,48259.636672225257,47674.008861871,45534.774726167816,44400.827914244059,44346.686396265832,44775.988972117775,44748,-6.2508886482004478E-4,-6.1375347526336888E-2,University of Colorado at Boulder
University of Connecticut,CT,13730.99883981311,13965.056322563967,14837.382955821202,15380.548847184435,15273.499766264076,15766.015522020971,16616.511866208559,17273.419442337799,18154.984121459751,18870.59560706206,19546.233678091485,20170.135064248312,21695.299893411775,22182.348069080374,22006.890081644779,21381.843832030405,21521.341446560309,21600.704046793966,21334,-1.2347007126073284E-2,-3.8244286242306025E-2,35385.041796424062,35966.974144106171,38397.694268837717,39691.738960475959,39459.16537552348,40773.98463682954,42805.970096196892,44720.474902682428,47422.492196342188,48106.200574294853,48534.559270035228,48851.990189302749,50244.53117077495,50386.15237228015,49265.964513228537,46321.827159418761,45475.272896556824,44868.36985808106,44002,-1.9309144968301606E-2,-0.12670450256075472,University of Connecticut
University of Delaware,DE,12656.371923148252,12930.164592513178,14237.043770880025,15073.410390942658,16020.713156891054,16383.080708792828,16740.907646274998,16786.499429711268,17008.41074533643,17212.408761453593,17286.857204548654,17541.477919829431,17984.957766046682,18226.102030960599,17847.920573774547,16954.52369309399,16992.201240336333,17254.696589365452,17660,2.3489454510857488E-2,-3.1059961696635052E-2,30126.823964303818,31594.107932157458,35131.849102757711,37518.143731687989,39310.295274708908,40350.453531363404,41371.272099430586,41744.550356238724,42684.046774638235,43265.79754925007,43545.540754619142,43994.74469512776,44974.988923356228,44887.219199799205,43395.876122120266,41731.673178394223,41973.273213069595,42495.207543113014,43220,1.7055863444169761E-2,-3.7142403328176421E-2,University of Delaware
University of Florida,FL,5233.370966995044,5667.9763827926145,6563.2081393694234,7449.5841910565932,8097.6746183463802,8615.0714598625527,8656.5641172903179,8586.3855857857106,8668.5837832261805,8560.5908267213854,8382.0239986493125,8182.1762139204384,8035.2962568191751,7937.3741267937621,7581.2072743463114,7020.5590970559861,6742.9873205588392,6550.1125506043927,6380,-2.5970935505329029E-2,-0.19620772586951885,27628.161090150988,30867.290907873234,35636.1340181083,40344.408179989739,39985.936501482727,39856.801381945916,39447.284034402946,38885.595421766746,38931.871816282066,38446.859726090181,37644.890103947975,36747.344607198233,36093.341712840738,35655.978444186396,34056.01888444597,31531.453245968893,30284.79448674123,29416.12699928823,30900,5.044420024252938E-2,-0.13338516152715041,University of Florida
University of Georgia,GA,8166.8539808388541,8273.1518072846284,9263.2336236423689,10835.490345683505,13558.630720342393,13802.626291383242,14183.883278242572,14738.171108438772,15788.478409129393,15607.884920557373,15524.018118796048,15169.275130963608,15214.165953350413,15028.758534744302,14354.386187163549,12300.556449629512,11814.229469338321,11752.901603107342,11492,-2.2198909845238757E-2,-0.23533271404739331,32186.007911554687,33414.14150942886,38941.001231209477,39789.196355244989,39625.21279566281,39340.710498463995,39353.296111686082,39505.806387570374,40526.749948472556,40037.967815808341,39922.656851112668,38986.191131176463,39194.109641412651,38716.470662354528,36979.180309977623,33248.910188533438,31934.348350930595,32526.283493385632,32336,-5.8501455730202157E-3,-0.1647999043610785,University of Georgia
