"Table CP-A1. Consumer Price Index—All Urban Consumers, Not Seasonally Adjusted, All Items, U.S. City Average, 1982-84=100",,,
Year,CPI,Factor Used to Convert to 2025 Dollars,Factor Used in to Convert to 2024 Dollars
1962,30.2,10.661835076136208,10.38705298013245
1963,30.6,10.522464682984101,10.251274509803922
1964,31,10.386690945139145,10.119000000000002
1965,31.5,10.221822834898841,9.9583809523809528
1966,32.4,9.937883311707207,9.6817592592592607
1967,33.4,9.6403418951890281,9.3918862275449104
1968,34.799999999999997,9.2525120488308481,9.0140517241379321
1969,36.700000000000003,8.7734991634690314,8.5473841961852859
1970,38.799999999999997,8.2986448273018958,8.0847680412371137
1971,40.5,7.950306649365765,7.7454074074074075
1972,41.8,7.7030483085960171,7.5045215311004796
1973,44.4,7.2519689031376915,7.065067567567568
1974,49.3,6.5311849756453046,6.3628600405679521
1975,53.8,5.9848962695039685,5.8306505576208183
1976,56.9,5.6588298646628035,5.5129876977152907
1977,60.6,5.3133237508137539,5.1763861386138617
1978,65.2,4.9384573512164645,4.8111809815950926
1979,72.599999999999994,4.4350884201007377,4.3207851239669424
1980,82.4,3.9076143118848723,3.8069053398058252
1981,90.9,3.5422158338758361,3.4509240924092408
1982,96.5,3.3366571948115387,3.2506632124352333
1983,99.6,3.2328054146517422,3.1494879518072292
1984,103.9,3.0990126977797257,3.0191434071222329
1985,107.6,2.9924481347519842,2.9153252788104091
1986,109.6,2.9378414169645395,2.8621259124087595
1987,113.6,2.8343962966488867,2.7613468309859157
1988,118.3,2.7217871453872653,2.6516398985629759
1989,124,2.5966727362847863,2.5297500000000004
1990,130.69999999999999,2.4635609739809756,2.4000688599846982
1991,136.19999999999999,2.3640779684237412,2.303149779735683
1992,140.30000000000001,2.2949922972153489,2.2358446186742693
1993,144.5,2.2282866387495743,2.1708581314878894
1994,148.19999999999999,2.1726546511424663,2.1166599190283404
1995,152.4,2.1127783418590123,2.0583267716535434
1996,156.9,2.0521824047120045,1.9992925430210327
1997,160.5,2.0061521451670625,1.9544485981308413
1998,163,1.9753829404865859,1.9244723926380369
1999,166.6,1.9326975948338145,1.882887154861945
2000,172.2,1.8698456405302759,1.8216550522648085
2001,177.1,1.8181107809108612,1.7712535290796163
2002,179.9,1.7898133368499916,1.7436853807670929
2003,184,1.7499316266267038,1.7048315217391306
2004,188.9,1.7045390116427395,1.6606087877183695
2005,195.3,1.6486811024030388,1.6061904761904762
2006,201.6,1.597159817952944,1.555997023809524
2007,207.34200000000001,1.552929070324939,1.5129062129235755
2008,215.303,1.4955082804202149,1.4569653000654892
2009,214.53700000000001,1.5008479623529438,1.4621673650698948
2010,218.05600000000001,1.4766271934700879,1.4385708258429029
2011,224.93899999999999,1.4314432770631749,1.3945514117160653
2012,229.59399999999999,1.4024208790269499,1.3662769933012189
2013,232.95699999999999,1.3821753340715819,1.3465532265611251
2014,236.73599999999999,1.3601117671132126,1.3250582927818331
2015,237.017,1.3584992608096191,1.3234873447896143
2016,240.00700000000001,1.3415751178062036,1.3069993791847738
2017,245.12,1.3135909729900193,1.2797364556135771
2018,251.107,1.2822717777653092,1.2492244342053389
2019,255.65700000000001,1.2594508239528488,1.2269916333212076
2020,258.81099999999998,1.244102527710621,1.21203890097407
2021,270.97000000000003,1.1882770022486382,1.1576521386131307
2022,292.65499999999997,1.1002286627575593,1.0718730245510928
2023,304.702,1.0567289328567371,1.0294943912412784
2024,313.68900000000002,1.0264542884809906,1
2025 (projected),321.9874192993135,1,
"NOTE: The Consumer Price Index for all urban dwellers (CPI-U) is used to adjust for inflation. Updated CPI data are available from the Bureau of Labor Statistics web site (www.bls.gov/data/). Multiplication of a current-year figure by the associated factor will yield a constant-dollar result.The 2025 CPI is projected by assuming the annual 2024 inflation is the same as that in the first eight months of 2025. Most values in Trends in Student Aid are in 2024 dollars, while most values in Trends in College Pricing have been converted to 2025 dollars. ",,,
SOURCE: Bureau of Labor Statistics.,,,
This table was prepared in October 2025.,,,
