day,temperature,ice_cream_sales,drownings,temperature_group
1,66.7,3.86,2.37,Cool
2,67.9,5.77,0.88,Cool
3,65.4,3.84,1.84,Cool
4,67.1,4.29,1.73,Cool
5,62.4,1.59,3.14,Cool
6,65.2,3.61,1.79,Cool
7,66.7,4.42,1.8,Cool
8,66.7,2.81,2.56,Cool
9,78.6,6.22,5.28,Moderate
10,74.1,3.2,6.44,Moderate
11,76.0,4.14,6.25,Moderate
12,77.0,4.55,5.97,Moderate
13,76.1,3.73,6.25,Moderate
14,78.3,5.5,5.34,Moderate
15,76.6,4.82,5.88,Moderate
16,76.0,3.44,6.46,Moderate
17,78.2,5.73,5.26,Moderate
18,76.9,5.59,4.97,Moderate
19,91.4,9.58,8.07,Hot
20,89.7,7.26,9.39,Hot
21,94.4,10.22,8.04,Hot
22,87.3,4.73,10.17,Hot
23,89.6,7.69,9.09,Hot
24,89.4,6.69,9.61,Hot
25,91.6,8.09,9.03,Hot
26,90.8,9.08,8.37,Hot
27,88.7,8.13,9.07,Hot
28,89.8,7.18,9.12,Hot
