year,private4_tuition,public4_tuition,public2_tuition,private4_total,public4_total
71-72,14550.0,3420.0,1510.0,23290.0,11210.0
72-73,15020.0,3850.0,1770.0,23800.0,11940.0
73-74,14870.0,3700.0,1960.0,23350.0,11600.0
74-75,13910.0,3330.0,1830.0,22340.0,10780.0
75-76,13710.0,3230.0,1500.0,22020.0,10650.0
76-77,14320.0,3510.0,1580.0,22520.0,10980.0
77-78,14350.0,3510.0,1650.0,22530.0,10840.0
78-79,14620.0,3410.0,1630.0,22770.0,10620.0
79-80,14330.0,3280.0,1600.0,22220.0,10330.0
80-81,14150.0,3130.0,1520.0,21840.0,9960.0
81-82,14560.0,3220.0,1520.0,22420.0,10170.0
82-83,15480.0,3440.0,1570.0,23790.0,10680.0
83-84,16450.0,3720.0,1710.0,25090.0,11090.0
84-85,17230.0,3810.0,1800.0,26190.0,11400.0
85-86,18310.0,3950.0,1920.0,26630.0,11550.0
86-87,19570.0,4140.0,1940.0,28940.0,11900.0
87-88,19980.0,4220.0,2100.0,29650.0,11900.0
88-89,21770.0,4300.0,2180.0,31740.0,12140.0
89-90,22490.0,4410.0,2180.0,32610.0,12260.0
90-91,23010.0,4710.0,2240.0,33210.0,12490.0
91-92,23190.0,4990.0,2770.0,33550.0,12880.0
92-93,23980.0,5350.0,2570.0,34490.0,13380.0
93-94,24530.0,5660.0,2790.0,35210.0,13840.0
94-95,25460.0,5890.0,2850.0,35850.0,14380.0
95-96,25820.0,5940.0,2810.0,36720.0,14240.0
96-97,26660.0,6120.0,3020.0,37680.0,14650.0
97-98,27660.0,6240.0,3150.0,38840.0,14990.0
98-99,29060.0,6420.0,3060.0,40420.0,15350.0
99-00,30000.0,6490.0,3190.0,41510.0,15620.0
00-01,30050.0,6560.0,3070.0,41590.0,15780.0
01-02,31600.0,6850.0,2930.0,43380.0,16420.0
02-03,32320.0,7340.0,2990.0,44510.0,17310.0
03-04,33160.0,8140.0,3340.0,45600.0,18430.0
04-05,34180.0,8740.0,3550.0,46820.0,19400.0
05-06,34590.0,9050.0,3590.0,47380.0,19980.0
06-07,35630.0,9260.0,3630.0,48710.0,20510.0
07-08,36370.0,9610.0,3560.0,49680.0,21060.0
08-09,37120.0,9870.0,3560.0,50550.0,21490.0
09-10,38630.0,10610.0,3860.0,52630.0,22870.0
10-11,39530.0,11270.0,4050.0,53850.0,23890.0
11-12,39910.0,11850.0,4250.0,54350.0,24560.0
12-13,40660.0,12130.0,4420.0,55330.0,24990.0
13-14,41640.0,12290.0,4480.0,56610.0,25400.0
14-15,42540.0,12450.0,4540.0,57740.0,25750.0
15-16,43930.0,12810.0,4620.0,59610.0,26590.0
16-17,44940.0,12970.0,4640.0,60840.0,27030.0
17-18,45590.0,13110.0,4650.0,61740.0,27310.0
18-19,45750.0,13090.0,4650.0,61920.0,27440.0
19-20,46450.0,13150.0,4660.0,62810.0,27640.0
20-21,46370.0,13150.0,4670.0,62930.0,27730.0
21-22,45240.0,12770.0,4520.0,61420.0,26970.0
22-23,43940.0,12090.0,4280.0,59380.0,25640.0
23-24,44110.0,11950.0,4170.0,59590.0,25450.0
24-25,44390.0,11920.0,4150.0,60050.0,25580.0
25-26,45000.0,11950.0,4150.0,60920.0,25850.0
