state,tuition
Florida,6358.562272988626
Wyoming,7434.539483287112
North Carolina,7540.927083896468
Utah,8173.078437731653
Georgia,8537.49701974554
District of Columbia,8635.996784565918
New York,8740.047556953288
Montana,8778.108559498958
Idaho,9174.093647605961
New Mexico,9267.45355777614
South Dakota,9385.282300697823
Alaska,9681.788676008007
Nevada,9882.73422406052
Nebraska,9983.05075651894
West Virginia,9997.454328493906
Mississippi,10106.936047166624
Oklahoma,10245.988060615338
Arkansas,10504.724001001681
Kansas,10583.977630578782
Wisconsin,10602.47295765015
Indiana,10647.43428427627
Louisiana,10730.630108270241
North Dakota,11080.402792426297
Iowa,11182.99431532542
Texas,11258.08693484919
Hawaii,11456.589248434237
Maryland,11478.656051453263
Tennessee,11741.753440234157
California,11948.69207674089
Washington,12260.565123598684
Kentucky,12455.112750349168
Alabama,12536.76029451868
Maine,12793.89540664148
Missouri,13091.887496412513
Arizona,13153.188466799958
South Carolina,13265.996162244424
Colorado,13710.861932051934
Ohio,13840.198170385673
Minnesota,14727.874116891457
Oregon,14835.323848745787
Illinois,15677.210575114095
Massachusetts,15896.316412506092
Virginia,16094.556614440315
Rhode Island,16123.78084434569
Delaware,16469.189847166494
Michigan,16695.980833574293
Pennsylvania,16953.65410619048
Connecticut,17355.365566037734
New Jersey,17957.06697149005
New Hampshire,17995.087997283685
Vermont,18094.253600281
